image,x,y,w,h,contrast,area_px,aspect,polarity,evidence_class,matches_coord,agrees,disagrees,near_edge,persistence,compactness,bg_std,smooth,grid_energy,edge_sharpness,contrast_stability,interest,score,verdict,confidence,flags,recommendation,path,baseline_fp,fdr_q,solar_elevation_deg,solar_azimuth_deg,pixel_scale_m,size_m,shadow_alignment,inferred_height_m,spacecraft_altitude_km
ESP_013948_1410_MRGB.abrowse_enh.png,1108,3980,12,44,3.1,528,3.67,dark,3,2,2,0,False,1.0,1.0,27.75,no,0.7416,1.7856,0.8613,67.9,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013948_1410\ESP_013948_1410_MRGB.abrowse_enh.png,,0.126,,,,,,,
ESP_013948_1410_MRGB.abrowse_enh.png,2084,9972,20,24,3.64,480,1.2,bright,3,2,2,0,False,1.0,1.0,20.58,no,0.8176,1.5227,0.8915,61.8,100.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013948_1410\ESP_013948_1410_MRGB.abrowse_enh.png,,0.034,,,,,,,
ESP_013948_1410_MRGB.browse_enh.png,728,5516,16,28,3.95,448,1.75,dark,3,2,2,0,False,1.0,1.0,19.73,no,0.8879,1.5159,0.936,63.5,100.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013948_1410\ESP_013948_1410_MRGB.browse_enh.png,,0.025,,,,,,,
ESP_013948_1410_RED.abrowse_enh.png,1108,3980,12,36,3.11,432,3.0,dark,3,2,2,0,False,1.0,1.0,30.82,no,0.7673,1.6564,0.8624,69.1,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013948_1410\ESP_013948_1410_RED.abrowse_enh.png,,0.126,,,,,,,
ESP_013948_1410_RED.browse_enh.png,728,5516,16,28,3.94,448,1.75,dark,3,2,2,0,False,1.0,1.0,20.91,no,0.895,1.4882,0.9453,63.4,100.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013948_1410\ESP_013948_1410_RED.browse_enh.png,,0.025,,,,,,,
ESP_013948_1410_RED.browse_enh.png,1464,5104,12,36,2.06,432,3.0,dark,3,2,2,0,False,1.0,1.0,32.85,no,0.8238,1.2021,0.8931,59.9,99.9,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013948_1410\ESP_013948_1410_RED.browse_enh.png,,0.376,,,,,,,
ESP_013948_1410_MIRB.browse_enh.png,1464,5104,12,36,2.04,432,3.0,dark,3,2,2,0,False,1.0,1.0,30.31,no,0.819,1.2921,0.8862,59.7,99.7,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013948_1410\ESP_013948_1410_MIRB.browse_enh.png,,0.376,,,,,,,
ESP_013948_1410_MRGB.browse_enh.png,856,4796,12,36,2.04,432,3.0,dark,3,2,2,0,False,1.0,1.0,38.07,no,0.7777,1.3312,0.7626,59.7,99.7,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013948_1410\ESP_013948_1410_MRGB.browse_enh.png,,0.376,,,,,,,
ESP_013948_1410_MRGB.browse_enh.png,1464,5104,12,36,2.04,432,3.0,dark,3,2,2,0,False,1.0,1.0,30.5,no,0.8188,1.2914,0.8887,59.7,99.7,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013948_1410\ESP_013948_1410_MRGB.browse_enh.png,,0.376,,,,,,,
ESP_013236_1410_RED.browse_enh.png,752,5100,16,28,3.5,448,1.75,dark,3,2,2,0,False,1.0,1.0,22.41,no,0.8551,1.1738,0.8913,59.6,99.6,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013236_1410\ESP_013236_1410_RED.browse_enh.png,,0.049,,,,,,,
ESP_013948_1410_MIRB.abrowse_enh.png,856,4992,12,36,2.03,432,3.0,dark,3,2,2,0,False,1.0,0.892,37.5,no,0.7794,1.3681,0.7608,59.6,99.6,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013948_1410\ESP_013948_1410_MIRB.abrowse_enh.png,,0.376,,,,,,,
ESP_013948_1410_MIRB.browse_enh.png,856,4796,12,36,2.03,432,3.0,dark,3,2,2,0,False,1.0,1.0,38.03,no,0.7787,1.3348,0.7635,59.6,99.6,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013948_1410\ESP_013948_1410_MIRB.browse_enh.png,,0.376,,,,,,,
ESP_013948_1410_MRGB.abrowse_enh.png,856,4992,12,36,2.03,432,3.0,dark,3,2,2,0,False,1.0,0.892,37.5,no,0.7794,1.3681,0.7608,59.6,99.6,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013948_1410\ESP_013948_1410_MRGB.abrowse_enh.png,,0.376,,,,,,,
ESP_013236_1410_MIRB.browse_enh.png,752,5100,16,28,3.45,448,1.75,dark,3,2,2,0,False,1.0,1.0,21.8,no,0.849,1.2528,0.8911,59.2,99.2,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013236_1410\ESP_013236_1410_MIRB.browse_enh.png,,0.049,,,,,,,
ESP_013236_1410_MRGB.browse_enh.png,752,5100,16,28,3.45,448,1.75,dark,3,2,2,0,False,1.0,1.0,21.8,no,0.849,1.2528,0.8911,59.2,99.2,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013236_1410\ESP_013236_1410_MRGB.browse_enh.png,,0.049,,,,,,,
ESP_013236_1410_RED.browse_enh.png,1508,4672,12,40,1.97,480,3.33,dark,3,2,2,0,False,1.0,1.0,30.52,no,0.8184,1.3164,0.8116,58.6,98.6,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013236_1410\ESP_013236_1410_RED.browse_enh.png,,0.376,,,,,,,
ESP_013236_1410_MIRB.browse_enh.png,1508,4672,12,40,1.94,480,3.33,dark,3,2,2,0,False,1.0,1.0,29.33,no,0.803,1.3763,0.8158,58.3,98.3,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013236_1410\ESP_013236_1410_MIRB.browse_enh.png,,0.376,,,,,,,
ESP_013236_1410_MRGB.browse_enh.png,1508,4672,12,40,1.94,480,3.33,dark,3,2,2,0,False,1.0,1.0,29.33,no,0.803,1.3763,0.8158,58.3,98.3,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013236_1410\ESP_013236_1410_MRGB.browse_enh.png,,0.376,,,,,,,
ESP_013948_1410_MIRB.abrowse_enh.png,644,4832,12,40,1.94,480,3.33,dark,3,2,2,0,False,1.0,1.0,28.4,no,0.7539,1.6898,0.8571,58.3,98.3,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013948_1410\ESP_013948_1410_MIRB.abrowse_enh.png,,0.376,,,,,,,
ESP_013948_1410_MRGB.abrowse_enh.png,644,4832,12,40,1.94,480,3.33,dark,3,2,2,0,False,1.0,1.0,28.4,no,0.7538,1.69,0.8571,58.3,98.3,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013948_1410\ESP_013948_1410_MRGB.abrowse_enh.png,,0.376,,,,,,,
ESP_013236_1410_RED.abrowse_enh.png,1364,3732,12,40,1.93,480,3.33,dark,3,2,2,0,False,1.0,0.853,36.75,no,0.7668,1.2944,0.8842,58.2,98.2,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013236_1410\ESP_013236_1410_RED.abrowse_enh.png,,0.376,,,,,,,
ESP_013948_1410_MIRB.abrowse_enh.png,1092,2404,12,36,1.87,432,3.0,dark,3,2,2,0,False,1.0,1.0,33.25,no,0.6308,1.281,0.8095,58.2,98.2,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013948_1410\ESP_013948_1410_MIRB.abrowse_enh.png,,0.376,,,,,,,
ESP_013948_1410_MIRB.abrowse_enh.png,556,5004,12,36,1.81,432,3.0,dark,3,2,2,0,False,1.0,1.0,45.73,no,0.7533,1.2561,0.7903,57.7,97.7,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013948_1410\ESP_013948_1410_MIRB.abrowse_enh.png,,0.376,,,,,,,
ESP_013948_1410_MIRB.abrowse_enh.png,728,5712,12,28,3.4,336,2.33,dark,3,2,2,0,False,1.0,1.0,23.34,no,0.8932,1.514,0.8718,57.7,97.7,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013948_1410\ESP_013948_1410_MIRB.abrowse_enh.png,,0.056,,,,,,,
ESP_013948_1410_MRGB.abrowse_enh.png,556,5004,12,36,1.81,432,3.0,dark,3,2,2,0,False,1.0,1.0,45.73,no,0.7533,1.2561,0.7903,57.7,97.7,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013948_1410\ESP_013948_1410_MRGB.abrowse_enh.png,,0.376,,,,,,,
ESP_013948_1410_MRGB.abrowse_enh.png,728,5712,12,28,3.4,336,2.33,dark,3,2,2,0,False,1.0,1.0,23.35,no,0.8931,1.514,0.8717,57.7,97.7,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013948_1410\ESP_013948_1410_MRGB.abrowse_enh.png,,0.056,,,,,,,
ESP_013236_1410_MIRB.abrowse_enh.png,1364,3736,12,36,1.8,432,3.0,dark,3,2,2,0,False,1.0,0.766,37.07,no,0.7288,1.2986,0.8909,57.6,97.6,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013236_1410\ESP_013236_1410_MIRB.abrowse_enh.png,,0.376,,,,,,,
ESP_013236_1410_MRGB.abrowse_enh.png,1364,3736,12,36,1.8,432,3.0,dark,3,2,2,0,False,1.0,0.766,37.07,no,0.7288,1.2986,0.8909,57.6,97.6,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013236_1410\ESP_013236_1410_MRGB.abrowse_enh.png,,0.376,,,,,,,
ESP_013948_1410_RED.abrowse_enh.png,728,5712,12,28,3.31,336,2.33,dark,3,2,2,0,False,1.0,1.0,25.32,no,0.9011,1.4508,0.8689,56.9,96.9,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013948_1410\ESP_013948_1410_RED.abrowse_enh.png,,0.076,,,,,,,
ESP_013948_1410_MRGB.browse_enh.png,2084,9776,24,24,3.03,576,1.0,bright,3,2,2,0,False,1.0,0.824,19.03,no,0.8304,1.4495,0.9307,56.8,96.8,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013948_1410\ESP_013948_1410_MRGB.browse_enh.png,,0.144,,,,,,,
ESP_013236_1410_MIRB.abrowse_enh.png,2136,9680,16,24,4.38,384,1.5,bright,3,2,2,0,False,1.0,0.0,18.33,no,0.8235,1.6916,0.8939,64.4,96.4,TERRAIN,high,small_blob,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013236_1410\ESP_013236_1410_MIRB.abrowse_enh.png,,0.010,,,,,,,
ESP_013236_1410_MRGB.abrowse_enh.png,2136,9680,16,24,4.65,384,1.5,bright,3,2,2,0,False,1.0,0.0,17.59,no,0.8211,1.655,0.8956,64.4,96.4,TERRAIN,high,small_blob,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013236_1410\ESP_013236_1410_MRGB.abrowse_enh.png,,0.004,,,,,,,
ESP_013948_1410_MRGB.browse_enh.png,1312,4128,16,24,3.05,384,1.5,dark,3,2,2,0,False,1.0,1.0,24.36,no,0.8076,1.5299,0.907,56.0,96.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013948_1410\ESP_013948_1410_MRGB.browse_enh.png,,0.140,,,,,,,
ESP_013948_1410_RED.browse_enh.png,1900,8988,24,8,3.68,192,3.0,bright,2,0,2,0,False,0.977,0.0,20.55,no,0.8154,1.8188,0.9095,64.0,96.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013948_1410\ESP_013948_1410_RED.browse_enh.png,,0.032,,,,,,,
ESP_013948_1410_MIRB.browse_enh.png,1312,4128,16,24,3.02,384,1.5,dark,3,2,2,0,False,1.0,1.0,24.72,no,0.8073,1.5206,0.9049,55.8,95.8,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013948_1410\ESP_013948_1410_MIRB.browse_enh.png,,0.144,,,,,,,
ESP_013236_1410_RED.abrowse_enh.png,3304,6572,20,60,1.99,1200,3.0,dark,3,2,2,0,False,1.0,0.449,34.43,no,0.8063,1.1626,0.9499,59.7,95.7,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013236_1410\ESP_013236_1410_RED.abrowse_enh.png,,0.376,,,,,,,
ESP_013236_1410_RED.browse_enh.png,1520,4712,12,36,1.58,432,3.0,dark,3,2,2,0,False,1.0,1.0,36.54,no,0.8175,0.5291,0.9289,55.7,95.7,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013236_1410\ESP_013236_1410_RED.browse_enh.png,,0.379,,,,,,,
ESP_013236_1410_MIRB.browse_enh.png,1520,4712,12,36,1.57,432,3.0,dark,3,2,2,0,False,1.0,1.0,34.89,no,0.8119,0.4897,0.9342,55.6,95.6,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013236_1410\ESP_013236_1410_MIRB.browse_enh.png,,0.379,,,,,,,
ESP_013236_1410_MRGB.browse_enh.png,1520,4712,12,36,1.57,432,3.0,dark,3,2,2,0,False,1.0,1.0,34.89,no,0.8119,0.4897,0.9342,55.6,95.6,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013236_1410\ESP_013236_1410_MRGB.browse_enh.png,,0.379,,,,,,,
ESP_013948_1410_MIRB.browse_enh.png,2084,9776,24,24,2.87,576,1.0,bright,3,2,2,0,False,1.0,0.911,19.9,no,0.8303,1.4548,0.9404,55.4,95.4,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013948_1410\ESP_013948_1410_MIRB.browse_enh.png,,0.193,,,,,,,
ESP_013948_1410_RED.browse_enh.png,1312,4128,16,24,2.98,384,1.5,dark,3,2,2,0,False,1.0,1.0,27.05,no,0.8061,1.4447,0.9056,55.4,95.4,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013948_1410\ESP_013948_1410_RED.browse_enh.png,,0.156,,,,,,,
ESP_013236_1410_MIRB.browse_enh.png,1600,5076,12,36,1.53,432,3.0,dark,3,2,2,0,False,1.0,1.0,25.45,no,0.7927,1.9714,0.876,55.3,95.3,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013236_1410\ESP_013236_1410_MIRB.browse_enh.png,,0.379,,,,,,,
ESP_013236_1410_MRGB.browse_enh.png,1600,5076,12,36,1.53,432,3.0,dark,3,2,2,0,False,1.0,1.0,25.44,no,0.7928,1.9716,0.876,55.3,95.3,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013236_1410\ESP_013236_1410_MRGB.browse_enh.png,,0.379,,,,,,,
ESP_013948_1410_MRGB.browse_enh.png,1092,2208,16,48,1.44,768,3.0,dark,3,2,2,0,False,1.0,0.842,31.47,no,0.6392,1.5289,0.6766,54.7,94.7,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013948_1410\ESP_013948_1410_MRGB.browse_enh.png,,0.384,,,,,,,
ESP_013948_1410_MIRB.browse_enh.png,1092,2208,16,48,1.43,768,3.0,dark,3,2,2,0,False,1.0,0.842,31.43,no,0.6385,1.5412,0.6763,54.6,94.6,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013948_1410\ESP_013948_1410_MIRB.browse_enh.png,,0.384,,,,,,,
ESP_013948_1410_RED.abrowse_enh.png,1312,4328,16,20,2.84,320,1.25,dark,3,2,2,0,False,1.0,1.0,31.45,no,0.8544,1.1827,0.9182,54.6,94.6,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013948_1410\ESP_013948_1410_RED.abrowse_enh.png,,0.198,,,,,,,
ESP_013236_1410_MRGB.abrowse_enh.png,2044,4768,12,36,1.42,432,3.0,dark,3,2,2,0,False,0.98,1.0,36.65,no,0.8253,1.4661,0.8335,54.3,94.3,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013236_1410\ESP_013236_1410_MRGB.abrowse_enh.png,,0.384,,,,,,,
ESP_013948_1410_MIRB.abrowse_enh.png,1312,4328,16,20,2.8,320,1.25,dark,3,2,2,0,False,1.0,1.0,29.47,no,0.8535,1.1729,0.9347,54.2,94.2,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013948_1410\ESP_013948_1410_MIRB.abrowse_enh.png,,0.210,,,,,,,
ESP_013948_1410_MRGB.abrowse_enh.png,1312,4328,16,20,2.8,320,1.25,dark,3,2,2,0,False,1.0,1.0,29.47,no,0.8535,1.1729,0.9347,54.2,94.2,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\ESP_013948_1410\ESP_013948_1410_MRGB.abrowse_enh.png,,0.210,,,,,,,
ESP_013948_1410_MIRB.browse_enh.png,2768,10292,8,28,2.97,224,3.5,bright,2,1,2,0,False,1.0,0.0,24.43,no,0.7456,2.0624,0.7732,61.9,93.9,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013948_1410\ESP_013948_1410_MIRB.browse_enh.png,,0.159,,,,,,,
ESP_013236_1410_MIRB.abrowse_enh.png,2044,4768,12,36,1.36,432,3.0,dark,3,2,2,0,False,0.979,1.0,37.93,no,0.7992,1.6301,0.827,53.8,93.8,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\ESP_013236_1410\ESP_013236_1410_MIRB.abrowse_enh.png,,0.388,,,,,,,
